路線,路線名稱,方向,站序,中文站點名稱,英文站點名稱,經度,緯度
綠1,松竹旱溪西路口 - 仁友停車場,回程,47,捷運文華高中站(寧夏路),MRT Wenhua Senior High School Station(Ningxia Road),120.6594183,24.17022889
綠1,松竹旱溪西路口 - 仁友停車場,回程,48,中山國中,Chungshan Junior High School,120.660762,24.167794
綠1,松竹旱溪西路口 - 仁友停車場,回程,49,三信公園,SanXin Park,120.663486,24.166053
綠1,松竹旱溪西路口 - 仁友停車場,回程,50,中華國小,Chung Hua Elementary School,120.666261,24.166777
綠1,松竹旱溪西路口 - 仁友停車場,回程,51,漢口陝西路口,Hankou-Shanxi Intersection,120.668866,24.166809
綠1,松竹旱溪西路口 - 仁友停車場,回程,52,漢口漢陽街口,Hankou-Hanyang Intersection,120.671572,24.166847
綠1,松竹旱溪西路口 - 仁友停車場,回程,53,曉明女中(漢口路),Stella Matutina Girls' High School(Hankou Road),120.67412,24.166902
綠1,松竹旱溪西路口 - 仁友停車場,回程,54,漢口山西路口,Hankou-Shanxi Intersection,120.675926,24.166964
綠1,松竹旱溪西路口 - 仁友停車場,回程,55,賴厝國小,LaiCuo Elementary School,120.679112,24.167049
綠1,松竹旱溪西路口 - 仁友停車場,回程,56,漢口永興街口,Hankou-Yongxing Intersection,120.683318,24.167049
綠1,松竹旱溪西路口 - 仁友停車場,回程,57,漢口熱河路口,Hankou-Rehe Intersection,120.686582,24.166929
綠1,松竹旱溪西路口 - 仁友停車場,回程,58,漢口興安路口,Hankou-Xingan Intersection,120.689528,24.16688
綠1,松竹旱溪西路口 - 仁友停車場,回程,59,下二分埔,Xiaerfenpu,120.692156,24.169253
綠1,松竹旱溪西路口 - 仁友停車場,回程,60,頂二分埔,Ding-er Fenpu,120.691236,24.170979
綠1,松竹旱溪西路口 - 仁友停車場,回程,61,捷運四維國小站,MRT Sihwei Elementary School Station,120.6926023,24.17124815
綠1,松竹旱溪西路口 - 仁友停車場,回程,62,文心興安路口,Wenxin-Xingan Intersection,120.694665,24.171016
綠1,松竹旱溪西路口 - 仁友停車場,回程,63,北屯文心路口,Beitun-Wenxin Intersection,120.698236,24.171089
綠1,松竹旱溪西路口 - 仁友停車場,回程,64,特力屋北屯店,B&Q Beitun Branch,120.698633,24.174163
綠1,松竹旱溪西路口 - 仁友停車場,回程,65,北屯崇德二路口,Beitun-Chongde 2nd Intersection,120.699177,24.17543
綠1,松竹旱溪西路口 - 仁友停車場,回程,66,北新國中,Beixin Junior High School,120.70043,24.178294
綠1,松竹旱溪西路口 - 仁友停車場,回程,67,捷運松竹站(北屯路),MRT Songzhu Station(Beitun Road),120.701792,24.18121
綠1,松竹旱溪西路口 - 仁友停車場,回程,68,捷運舊社站,MRT Jiushe Station,120.707282,24.18216
綠1,松竹旱溪西路口 - 仁友停車場,回程,69,松竹旱溪西路口,Songzhu-Hanxi W. Intersection,120.709896,24.182211
綠2,太原車站 - 捷運文心森林公園站,去程,1,東光路884巷口,Dongguang Road 884th Lane,120.700535,24.168522
綠2,太原車站 - 捷運文心森林公園站,去程,2,東光路(三和里),Dongguang Road(Sanhe Village),120.700221,24.166386
綠2,太原車站 - 捷運文心森林公園站,去程,3,太原車站,Taiyuan Station,120.699918,24.163606
綠2,太原車站 - 捷運文心森林公園站,去程,4,天祥東光路口,Tianxiang-Dongguang Intersection,120.700767,24.160125
綠2,太原車站 - 捷運文心森林公園站,去程,5,旱溪西天祥街口,Hanxi W. -Tianxiang Intersection,120.703856,24.160124
綠2,太原車站 - 捷運文心森林公園站,去程,6,旱溪西太原路口,Hanxi W.-Taiyuan Intersection,120.703609,24.1634
綠2,太原車站 - 捷運文心森林公園站,去程,7,太原二號橋,Taiyuan No.2 Bridge,120.7061712,24.16467606
綠2,太原車站 - 捷運文心森林公園站,去程,8,東山高中(景賢六路),Dongshan H. S.(Jingxian 6th Road),120.711978,24.165837
綠2,太原車站 - 捷運文心森林公園站,去程,9,景賢八路口,Jingxian 8th Intersection,120.709566,24.167255
綠2,太原車站 - 捷運文心森林公園站,去程,10,三甲公園,Sanjia Park,120.706876,24.167261
綠2,太原車站 - 捷運文心森林公園站,去程,11,東山旱溪西路口,Dongshan-Hanxi W. Intersection,120.704466,24.169525
綠2,太原車站 - 捷運文心森林公園站,去程,12,東光國小,Dongguang Elementary School,120.702571,24.169822
綠2,太原車站 - 捷運文心森林公園站,去程,13,聯安醫院,Lian-an Hospital,120.698939,24.170311
綠2,太原車站 - 捷運文心森林公園站,去程,14,四維國小,Sihwei Elementary School,120.6969,24.1708
綠2,太原車站 - 捷運文心森林公園站,去程,15,文心興安路口,Wenxin-Xingan Intersection,120.694844,24.17115
綠2,太原車站 - 捷運文心森林公園站,去程,16,捷運四維國小站,MRT Sihwei Elementary School Station,120.6933335,24.17133928
綠2,太原車站 - 捷運文心森林公園站,去程,17,文心昌平路口,Wenxin-Changping Intersection,120.6918348,24.17152689
綠2,太原車站 - 捷運文心森林公園站,去程,18,文心熱河路口,Wenxin-Rehe Intersection,120.6881594,24.17191921
綠2,太原車站 - 捷運文心森林公園站,去程,19,文心崇德路口,Wenxin-Chongde Intersection,120.6862327,24.17216602
綠2,太原車站 - 捷運文心森林公園站,去程,20,捷運文心崇德站(文心路),MRT Wenxin Chongde Station(Wenxin Road),120.684991,24.172313
綠2,太原車站 - 捷運文心森林公園站,去程,21,文心國小,Wenxin Elementary School,120.6825862,24.17255362
綠2,太原車站 - 捷運文心森林公園站,去程,22,文心梅川西路口,Wenxin-MeiChuan W. Intersection,120.678998,24.173092
綠2,太原車站 - 捷運文心森林公園站,去程,23,文心山西路口,Wenxin-Shanxi Intersection,120.6765732,24.17349918
綠2,太原車站 - 捷運文心森林公園站,去程,24,文心青島東街口,Wenxin-Qingdao E. Intersection,120.6748106,24.17382648
綠2,太原車站 - 捷運文心森林公園站,去程,25,文心中清路口,Wenxin-Zhongqing Intersection,120.6720613,24.17403148
綠2,太原車站 - 捷運文心森林公園站,去程,26,捷運文心中清站(文心路),MRT Wenxin Zhongqing Station(Wenxin Road),120.670835,24.17384
綠2,太原車站 - 捷運文心森林公園站,去程,27,文心陝西路口,Wenxin-Shanxi Intersection,120.6682083,24.17340678
綠2,太原車站 - 捷運文心森林公園站,去程,28,臺灣日報,Taiwan Daily News,120.666504,24.17314639
綠2,太原車站 - 捷運文心森林公園站,去程,29,重慶國小,Chongqing Elementary School,120.6636326,24.17249518
